fold,n_test,n_trades,trade_rate,hold_fraction,n_dir_trades,n_hold_trades,realized_exp_base,realized_exp_optimistic,realized_exp_pessimistic,dir_bar_exp,hold_bar_exp,directional_accuracy,breakeven_rt,daily_pnl,s2_accuracy_on_filtered
Fold 1,231500,196699,0.849671706263499,0.44494888128561916,109178,87521,0.010826135364183474,1.2608261353641839,-2.499173864635814,4.010050376449466,-4.978002879308967,0.5076938577369067,3.750826135364186,42.589799999990504,0.5076938577369067
Fold 2,236130,189962,0.8044805827298522,0.43824027963487433,106713,83249,2.5384366083743046,3.7884366083743046,0.02843660837430644,3.81162210789688,0.9063996564523276,0.5015883725506733,6.278436608374307,9455.029313725483,0.5015883725506733
Fold 3 (holdout),229520,206862,0.901280934123388,0.4484825632547302,114088,92774,0.1552900967794935,1.4052900967794935,-2.3547099032205043,3.502479489516862,-3.9608862396792226,0.4920762919851343,3.8952900967794957,642.4723999999918,0.4920762919851343
