weight,n_total,mean,std,iqr_pp,p10,p25,p50,p75,p90,frac_in_050_060,frac_in_060_100,frac_in_070_100
1.00,697150,0.517755925655365,0.13040484488010406,4.001402854919434,0.37839311361312866,0.5355347990989685,0.5597617626190186,0.5755488276481628,0.5879645347595215,0.8059886681488919,0.04536756795524636,0.0013411747830452557
0.50,697150,0.35944053530693054,0.09645414352416992,3.8254469633102417,0.2382284551858902,0.36689361929893494,0.3895832300186157,0.40514808893203735,0.41640907526016235,0.002854478950010758,0.00017930144158359034,0.0
0.33,697150,0.2747434675693512,0.07314974069595337,3.2453596591949463,0.1790623813867569,0.2781338393688202,0.2969556152820587,0.31058743596076965,0.31956177949905396,0.000144875564799541,0.0,0.0
0.25,697150,0.2332714945077896,0.042393460869789124,2.0153656601905823,0.17775437235832214,0.2342851608991623,0.24688449501991272,0.2544388175010681,0.259114146232605,0.0,0.0,0.0
0.20,697150,0.2241329848766327,0.0036121259909123182,0.7858946919441223,0.2190486490726471,0.21947485208511353,0.22580964863300323,0.22733379900455475,0.2278924435377121,0.0,0.0,0.0
