fold,this_test_r2,r3_test_r2,delta,this_train_r2
1,0.16282975673675537,0.163,-0.0001702432632446349,0.17035794258117676
2,0.10797512531280518,0.109,-0.0010248746871948239,0.1951557993888855
3,0.04885530471801758,0.049,-0.00014469528198242376,0.18854033946990967
4,0.17821460962295532,0.18,-0.001785390377044671,0.19597405195236206
5,0.1606927514076233,0.159,0.0016927514076232886,0.15708249807357788
mean,0.13171350955963135,0.132,-0.00028649044036865856,0.18142212629318238
