geometry,target,stop,breakeven_wr,accuracy,accuracy_std,directional_accuracy,directional_accuracy_std,directional_prediction_rate,expectancy_base,expectancy_opt,expectancy_pess,profit_factor,breakeven_margin_dir,short_recall,hold_recall,long_recall,label0_hit_rate
10_5,10,5,0.5328,0.3839,0.0087,0.5067,0.0039,0.9039,-0.4897,0.7603,-2.9997,0.9007,-0.0261,0.3896,0.1821,0.5675,0.2935
15_3,15,3,0.3329,0.6192,0.0208,0.3424,0.4665,0.0001,4.8735,5.3457,3.9253,inf,0.0095,0.0000,0.9999,0.0001,0.3160
19_7,19,7,0.3843,0.4750,0.0227,0.5590,0.2081,0.0028,5.6781,6.9281,3.1681,inf,0.1747,0.0016,0.9971,0.0017,0.4786
20_3,20,3,0.2605,0.6988,0.0191,0.0889,0.2846,0.0000,1.7233,1.8622,1.4444,inf,-0.1716,0.0000,1.0000,0.0000,0.2886
