target,stop,oracle_wr,oracle_exp_raw,net_exp,breakeven_wr,oracle_margin,trade_count,profit_factor,geometry_score,days_processed
18,10,0.5595,4.9672,3.7172,0.4640,0.0955,1959,2.1851,1.4467,19
19,2,0.3039,2.4563,1.2063,0.2377,0.0662,3827,2.7222,0.6562,19
19,3,0.3642,3.3656,2.1156,0.2724,0.0919,3215,2.6796,1.0548,19
19,4,0.4066,3.9163,2.6663,0.3040,0.1026,2799,2.5852,1.2404,19
19,5,0.4354,4.1873,2.9373,0.3330,0.1024,2545,2.4764,1.3030,19
19,6,0.4734,4.8092,3.5592,0.3597,0.1137,2309,2.4945,1.5039,19
19,7,0.5014,5.1277,3.8777,0.3843,0.1171,2166,2.4429,1.5869,19
19,8,0.5160,5.0840,3.8340,0.4071,0.1089,2062,2.3269,1.5309,19
19,9,0.5295,5.0476,3.7976,0.4283,0.1012,1947,2.2367,1.4735,19
19,10,0.5472,5.0906,3.8406,0.4480,0.0992,1831,2.1678,1.4451,19
20,2,0.2940,2.4765,1.2265,0.2269,0.0671,3616,2.6917,0.6485,19
20,3,0.3457,3.1696,1.9196,0.2605,0.0852,3037,2.5677,0.9302,19
20,4,0.3871,3.7250,2.4750,0.2913,0.0958,2658,2.4821,1.1220,19
20,5,0.4173,4.0505,2.8005,0.3197,0.0976,2399,2.3953,1.2061,19
20,6,0.4477,4.3791,3.1291,0.3458,0.1019,2220,2.3375,1.2964,19
20,7,0.4677,4.4227,3.1727,0.3701,0.0976,2072,2.2208,1.2699,19
20,8,0.4974,4.8966,3.6466,0.3926,0.1048,1934,2.2382,1.4101,19
20,9,0.5032,4.5849,3.3349,0.4135,0.0897,1848,2.0959,1.2606,19
20,10,0.5137,4.3608,3.1108,0.4331,0.0806,1756,1.9864,1.1463,19
