fold,this_run_test_r2,9d_proper_val_r2,delta
1,0.13892748475022698,0.134,0.004927484750226974
2,0.08632154453049279,0.083,0.0033215445304927843
3,-0.04942077742140061,-0.047,-0.002420777421400608
4,0.130610185105136,0.117,0.013610185105135994
5,0.13988905475453062,0.135,0.0048890547545306084
