geometry,scenario,rt_cost,mean_expectancy,per_fold_expectancy
19_7,optimistic,2.49,5.0247173246210695,"[5.260050376449466, 5.06162210789688, 4.752479489516862]"
19_7,base,3.74,3.774717324621069,"[4.010050376449466, 3.81162210789688, 3.502479489516862]"
19_7,pessimistic,6.25,1.2647173246210717,"[1.500050376449468, 1.3016221078968824, 0.9924794895168642]"
10_5,optimistic,2.49,0.7365857643149122,"[0.8220541188745328, 0.6133662094066828, 0.774336964663521]"
10_5,base,3.74,-0.5134142356850878,"[-0.4279458811254673, -0.6366337905933172, -0.475663035336479]"
10_5,pessimistic,6.25,-3.023414235685087,"[-2.937945881125467, -3.1466337905933166, -2.9856630353364784]"
