geometry,fold,train_range,test_range,n_train,n_test,stage1_accuracy,stage1_precision,stage1_recall,stage2_acc_all_dir,stage2_acc_filtered,trade_rate,directional_accuracy,label0_hit_rate,expectancy_optimistic,expectancy_base,expectancy_pessimistic,n_trades,daily_pnl_base,selection_bias_delta,stage1_n_estimators,stage2_n_estimators,stage1_elapsed_s,stage2_elapsed_s
19_7,Fold 1,1-100,101-150,462500,231500,0.5952699784017279,0.5550511187143808,0.9464768707954782,0.5118246757750191,0.5076938577369067,0.849671706263499,0.5076938577369067,0.44494888128561916,5.260050376449466,4.010050376449466,1.500050376449468,109178,8756.185599999997,0.004130818038112438,115,26,1.1327941417694092,0.4207000732421875
19_7,Fold 2,1-150,151-201,694000,236130,0.6006860627620378,0.5617597203651257,0.9062367308116922,0.5043225707831581,0.5015883725506733,0.8044805827298522,0.5015883725506733,0.43824027963487433,5.06162210789688,3.81162210789688,1.3016221078968824,106713,7975.482941176468,0.0027341982324847747,599,40,5.345039129257202,0.5927178859710693
19_7,Fold 3 (holdout),1-201,202-251,930130,229520,0.563144823980481,0.5515174367452698,0.9383703045706154,0.495480379335587,0.4920762919851343,0.901280934123388,0.4920762919851343,0.4484825632547302,4.752479489516862,3.502479489516862,0.9924794895168642,114088,7991.817599999996,0.003404087350452667,214,34,2.847881317138672,0.6575500965118408
10_5,Fold 1,1-100,101-150,462500,231500,0.6958876889848812,0.6905213026249925,0.9720120381163114,0.5126077536532522,0.5099762196733084,0.9233390928725702,0.5099762196733084,0.3094786973750076,0.8220541188745328,-0.4279458811254673,-2.937945881125467,147601,-1263.3048000000015,0.0026315339799437565,254,136,2.010841131210327,1.0633208751678467
10_5,Fold 2,1-150,151-201,694000,236130,0.6951636810231652,0.691476048920957,0.9633117303953338,0.5045301360985094,0.4988461978350231,0.9103417608944225,0.4988461978350231,0.30852395107904296,0.6133662094066828,-0.6366337905933172,-3.1466337905933166,148639,-1855.4629411764718,0.005683938263486288,433,13,4.020297288894653,0.5304467678070068
10_5,Fold 3 (holdout),1-201,202-251,930130,229520,0.6775270128964797,0.6789858531601747,0.986651799316707,0.5055266348142338,0.5074313047820544,0.9765989891948414,0.5074313047820544,0.3210141468398253,0.774336964663521,-0.475663035336479,-2.9856630353364784,152194,-1447.8612000000014,-0.0019046699678206824,221,73,2.903012990951538,1.108860969543457
