geometry,rank,feature,mean_gain
19_7,1,volatility_50,52.31597137451172
19_7,2,message_rate,50.1649424235026
19_7,3,minutes_since_open,47.174661000569664
19_7,4,time_sin,42.885789235432945
19_7,5,trade_count,41.61189651489258
19_7,6,time_cos,40.004990895589195
19_7,7,high_low_range_50,31.373327255249023
19_7,8,modify_fraction,29.34039052327474
19_7,9,volatility_20,27.93406359354655
19_7,10,avg_trade_size,21.12936782836914
10_5,1,volatility_50,38.940694173177086
10_5,2,high_low_range_50,37.033607482910156
10_5,3,minutes_since_open,31.227733612060547
10_5,4,time_sin,31.046791712443035
10_5,5,time_cos,29.316791534423828
10_5,6,weighted_imbalance,29.06306330362956
10_5,7,message_rate,25.705376307169598
10_5,8,volatility_20,23.718711853027344
10_5,9,trade_count,23.675256729125977
10_5,10,return_20,16.510966300964355
