dsl_level,trades_per_day,exp_per_trade,daily_pnl_mean,daily_pnl_std,daily_pnl_skew,daily_pnl_kurtosis,dd_worst,dd_median,min_acct_all,min_acct_95,calmar,sharpe,annual_pnl,win_rate,dsl_trigger_rate,recovery_sacrifice_rate
None,116.77,3.0161,336.77,2229.47,0.8973,19.5247,33983.58,8686.84,34000,25500,2.4874,2.2043,84529.76,0.5027,0.0000,0.0000
$5000,115.05,3.1624,353.99,2137.21,2.1157,15.3434,27188.83,8683.53,27500,17500,3.2680,2.4461,88851.76,0.5031,0.0254,0.0000
$4000,113.73,3.3866,378.19,2087.79,2.4172,16.6222,26155.99,8226.67,26500,16500,3.6292,2.6794,94926.57,0.5043,0.0420,0.0000
$3000,111.08,3.7553,413.15,2021.51,2.8082,18.6440,22775.57,6979.37,23000,15500,4.5531,3.0228,103700.57,0.5063,0.0685,0.0000
$2500,109.63,4.0432,438.68,1974.53,3.0647,20.2183,20437.34,6506.16,20500,15000,5.3876,3.2795,110108.37,0.5077,0.0785,0.0211
$2000,106.50,4.3197,455.59,1931.52,3.3180,21.8889,17945.26,6389.36,18000,13000,6.3723,3.4756,114352.23,0.5093,0.1061,0.0729
$1500,101.98,4.7710,482.63,1874.51,3.6305,24.3278,14653.38,5953.92,15000,10500,8.2671,3.7829,121140.39,0.5121,0.1431,0.0965
$1000,93.99,5.0413,468.20,1760.73,4.1721,29.8057,10954.96,5083.56,11000,8500,10.7275,3.8543,117518.80,0.5145,0.2259,0.1589
$500,78.24,5.7177,444.40,1507.52,4.8894,40.9546,8199.27,3986.10,8500,6500,13.6040,4.1649,111543.25,0.5193,0.3879,0.2407
