cutoff,rtm_remaining,trades_per_day,exp_per_trade,daily_pnl,dd_worst,dd_median,min_acct_all,min_acct_95,win_rate,time_skip_pct,hold_skip_pct,timeout_fraction,barrier_hit_fraction,avg_bars_held,calmar,sharpe,annual_pnl
390,0,162.21,2.5008,412.77,47893.73,12916.70,48000,26500,0.4993,0.0000,0.6609,0.4133,0.5867,28.02,2.1632,2.1010,103604.84
375,15,158.85,2.4939,400.34,47946.92,12916.70,48000,27000,0.4992,0.0673,0.6336,0.4135,0.5865,28.26,2.0958,2.0335,100486.17
360,30,155.83,2.4568,384.03,47988.87,12921.71,48000,26500,0.4989,0.1290,0.6082,0.4140,0.5860,28.37,2.0086,1.9584,96391.28
345,45,153.14,2.2809,346.49,47923.43,12906.27,48000,30000,0.4984,0.1700,0.6027,0.4140,0.5860,28.30,1.8148,1.7712,86969.86
330,60,148.55,2.2653,331.22,48088.96,13330.72,48500,32000,0.4994,0.2290,0.5922,0.4129,0.5871,28.02,1.7288,1.6956,83136.55
300,90,131.27,2.4770,317.71,43202.27,12595.56,43500,30500,0.5003,0.4492,0.4407,0.4119,0.5881,28.73,1.8459,1.7808,79745.47
270,120,116.77,3.0161,336.77,33983.58,8686.84,34000,25500,0.5027,0.5801,0.3439,0.4130,0.5870,29.05,2.4874,2.2043,84529.76
