geometry,threshold,fold,n_test,n_trades,trade_rate,hold_fraction,n_dir_trades,n_hold_trades,realized_exp_base,realized_exp_optimistic,realized_exp_pessimistic,dir_bar_exp,hold_bar_exp,directional_accuracy,breakeven_rt,daily_pnl
19:7,0.5,Fold 1,231500,196699,0.849671706263499,0.44494888128561916,109178,87521,0.010826135364183474,1.2608261353641839,-2.499173864635814,4.010050376449466,-4.978002879308967,0.5076938577369067,3.750826135364186,42.589799999990504
19:7,0.5,Fold 2,236130,189962,0.8044805827298522,0.43824027963487433,106713,83249,2.5384366083743046,3.7884366083743046,0.02843660837430644,3.81162210789688,0.9063996564523276,0.5015883725506733,6.278436608374307,9455.029313725483
19:7,0.5,Fold 3 (holdout),229520,206862,0.901280934123388,0.4484825632547302,114088,92774,0.1552900967794935,1.4052900967794935,-2.3547099032205043,3.502479489516862,-3.9608862396792226,0.4920762919851343,3.8952900967794957,642.4723999999918
10:5,0.5,Fold 1,231500,213753,0.9233390928725702,0.3094786973750076,147601,66152,-1.581395793275417,-0.33139579327541685,-4.091395793275416,-0.4279458811254673,-4.155019576127709,0.5099762196733084,2.158604206724584,-6760.561900000004
10:5,0.5,Fold 2,236130,214959,0.9103417608944225,0.30852395107904296,148639,66320,-1.732672439860626,-0.48267243986062575,-4.242672439860624,-0.6366337905933172,-4.189157493968639,0.4988461978350231,2.0073275601393754,-7303.010490196084
10:5,0.5,Fold 3 (holdout),229520,224149,0.9765989891948414,0.3210141468398253,152194,71955,-1.625078675345419,-0.3750786753454188,-4.135078675345418,-0.475663035336479,-4.056239316239317,0.5074313047820544,2.1149213246545826,-7285.195200000006
