timestamp,bar_type,bar_param,day,is_warmup,bar_index,book_imbalance_1,book_imbalance_3,book_imbalance_5,book_imbalance_10,weighted_imbalance,spread,bid_depth_profile_0,bid_depth_profile_1,bid_depth_profile_2,bid_depth_profile_3,bid_depth_profile_4,bid_depth_profile_5,bid_depth_profile_6,bid_depth_profile_7,bid_depth_profile_8,bid_depth_profile_9,ask_depth_profile_0,ask_depth_profile_1,ask_depth_profile_2,ask_depth_profile_3,ask_depth_profile_4,ask_depth_profile_5,ask_depth_profile_6,ask_depth_profile_7,ask_depth_profile_8,ask_depth_profile_9,depth_concentration_bid,depth_concentration_ask,book_slope_bid,book_slope_ask,level_count_bid,level_count_ask,net_volume,volume_imbalance,trade_count,avg_trade_size,large_trade_count,vwap_distance,kyle_lambda,return_1,return_5,return_20,volatility_20,volatility_50,momentum,high_low_range_20,high_low_range_50,close_position,volume_surprise,duration_surprise,acceleration,vol_price_corr,time_sin,time_cos,minutes_since_open,minutes_to_close,session_volume_frac,cancel_add_ratio,message_rate,modify_fraction,order_flow_toxicity,cancel_concentration,book_snap_0,book_snap_1,book_snap_2,book_snap_3,book_snap_4,book_snap_5,book_snap_6,book_snap_7,book_snap_8,book_snap_9,book_snap_10,book_snap_11,book_snap_12,book_snap_13,book_snap_14,book_snap_15,book_snap_16,book_snap_17,book_snap_18,book_snap_19,book_snap_20,book_snap_21,book_snap_22,book_snap_23,book_snap_24,book_snap_25,book_snap_26,book_snap_27,book_snap_28,book_snap_29,book_snap_30,book_snap_31,book_snap_32,book_snap_33,book_snap_34,book_snap_35,book_snap_36,book_snap_37,book_snap_38,book_snap_39,msg_summary_0,msg_summary_1,msg_summary_2,msg_summary_3,msg_summary_4,msg_summary_5,msg_summary_6,msg_summary_7,msg_summary_8,msg_summary_9,msg_summary_10,msg_summary_11,msg_summary_12,msg_summary_13,msg_summary_14,msg_summary_15,msg_summary_16,msg_summary_17,msg_summary_18,msg_summary_19,msg_summary_20,msg_summary_21,msg_summary_22,msg_summary_23,msg_summary_24,msg_summary_25,msg_summary_26,msg_summary_27,msg_summary_28,msg_summary_29,msg_summary_30,msg_summary_31,msg_summary_32,return_1,return_5,return_20,return_100,mbo_event_count,tb_label,tb_exit_type,tb_bars_held
1641234503800000000,tick,5000,20220103,false,50,0.917808,0.0457256,-0.0408401,-0.0603889,0.0576635,1,70,103,90,69,79,89,113,92,114,99,3,106,131,113,93,108,114,143,108,117,0.102717,0.112072,0.0335688,0.204346,10,10,-1037,-0.0853849,1083,11.2142,0,2.64844,0.0041469284,1,16,36,9.6945858,15.941255,36,67,155.5,0.985075,1.04589,1.14398,-3,-0.47534525,-0.376211,-0.926534,238.397,151.603,0,1.00134,78.0249,0.0911389,0.00138504,0.454736,-2.375,99,-2.125,114,-1.875,92,-1.625,113,-1.375,89,-1.125,79,-0.875,69,-0.625,90,-0.375,103,-0.125,70,0.125,3,0.375,106,0.625,131,0.875,113,1.125,93,1.375,108,1.625,114,1.875,143,2.125,108,2.375,117,1978,1975,313,1606,1605,319,1295,1272,255,1774,1772,322,1505,1496,268,1525,1518,373,1687,1698,383,1353,1357,349,1316,1312,284,1587,1642,270,0.99534202,1.0079004,96.734695,-4,22,43,NaN,35492,-1,timeout,1
1641234943500000000,tick,5000,20220103,false,51,0.153846,0.0573248,0.0552764,-0.0151351,0.0258547,1,45,111,93,89,82,101,86,96,104,104,33,111,78,79,75,109,102,125,104,123,0.103727,0.107988,0.0445324,0.0902037,10,10,-572,-0.0468315,1181,10.3421,0,-0.0761719,0.0040587131,-4,16,25,9.6960039,15.560836,25,68.5,155.5,0.905109,1.04666,1.1253,-5,-0.48318288,-0.40564,-0.914033,245.725,144.275,0,0.995968,85.5187,0.091371,0.00381033,0.453397,-2.375,104,-2.125,104,-1.875,96,-1.625,86,-1.375,101,-1.125,82,-0.875,89,-0.625,93,-0.375,111,-0.125,45,0.125,33,0.375,111,0.625,78,0.875,79,1.125,75,1.375,109,1.625,102,1.875,125,2.125,104,2.375,123,2052,2012,462,1536,1519,280,2272,2312,402,1439,1421,251,1248,1243,251,1656,1644,302,1784,1792,335,2100,2090,464,1137,1118,271,1890,1894,417,0.99532002,0.99661493,113.4213,6,37,62,NaN,38775,1,timeout,1
1641235390200000000,tick,5000,20220103,false,52,0.70297,0.120155,0.0366972,-0.0633437,0.0806753,1,86,102,101,80,83,84,85,84,100,97,15,112,100,95,98,128,102,115,120,139,0.10083,0.109798,0.00131496,0.131515,10,10,1719,0.129628,957,13.8568,0,7.4668,0.003216391,6,28,27,9.7340889,15.591485,27,70,144.5,0.971429,1.12181,1.12784,10,-0.488655,-0.435113,-0.900376,253.17,136.83,0,1.00813,71.142,0.0906773,0.00626959,0.456503,-2.375,97,-2.125,100,-1.875,84,-1.625,85,-1.375,84,-1.125,83,-0.875,80,-0.625,101,-0.375,102,-0.125,86,0.125,15,0.375,112,0.625,100,0.875,95,1.125,98,1.375,128,1.625,102,1.875,115,2.125,120,2.375,139,1397,1385,273,1290,1284,294,1393,1393,287,1086,1058,250,900,903,170,1013,1020,166,949,940,189,925,995,147,3515,3649,762,1919,1877,343,0.99291128,1.0192285,177.47426,9,32,51,NaN,32729,1,timeout,1
1641235814200000000,tick,5000,20220103,false,53,0.566265,0.0169492,-0.0472009,-0.0884692,5.1581e-05,1,65,108,97,91,73,86,93,94,97,113,18,148,95,99,117,102,118,111,167,120,0.102233,0.111491,0.0260431,0.115681,10,10,-528,-0.0425326,1385,8.96318,0,3.62695,0.0028532152,9,16,58,8.2471209,15.636895,58,77.5,138.5,0.993548,1.04517,1.06337,3,-0.32123667,-0.462664,-0.886534,260.237,129.763,0,0.997029,88.9125,0.0905545,0.00649819,0.454046,-2.375,113,-2.125,97,-1.875,94,-1.625,93,-1.375,86,-1.125,73,-0.875,91,-0.625,97,-0.375,108,-0.125,65,0.125,18,0.375,148,0.625,95,0.875,99,1.125,117,1.375,102,1.625,118,1.875,111,2.125,167,2.375,120,1650,1622,311,1426,1463,290,3575,3633,788,1877,1873,378,1664,1606,337,1316,1313,247,1318,1287,174,1844,1868,381,1453,1417,273,1041,1031,234,1.0004905,0.99196786,188.62939,10.5,17,55,NaN,39075,1,timeout,1
1641236244400000000,tick,5000,20220103,false,54,0.130435,-0.0327022,-0.0701403,0.0108794,0.00346502,2,104,85,92,86,97,99,109,116,213,114,80,122,98,107,127,115,111,102,103,126,0.110047,0.101573,0.0554375,0.0188736,10,10,-979,-0.0795095,1561,7.88789,0,3.52539,0.0015517689,10.5,22.5,64.5,8.4105215,14.683749,64.5,71,117.5,0.93662,1.03306,1.07087,1.5,-0.42876434,-0.490169,-0.871628,267.407,122.593,0,1.01013,93.5922,0.0785264,0.00672646,0.46306,-2.5,114,-2.25,213,-2,116,-1.75,109,-1.5,99,-1.25,97,-1,86,-0.75,92,-0.5,85,-0.25,104,0.25,80,0.5,122,0.75,98,1,107,1.25,127,1.5,115,1.75,111,2,102,2.25,103,2.5,126,1352,1389,198,1984,1967,290,1895,1913,311,1471,1472,228,1495,1502,251,2160,2312,294,2142,2120,434,1853,1877,350,2233,2227,464,1868,1861,341,1.0056118,1.013748,114.48501,0.5,5.5,NaN,NaN,41815,0,timeout,1
1641236674500000000,tick,5000,20220103,false,55,0.802469,0.122807,0.077278,0.0837772,0.150704,1,73,103,112,81,98,100,114,119,114,205,8,114,103,89,86,109,92,119,96,130,0.109271,0.111304,0.0687989,0.151202,10,10,492,0.0386428,1439,8.84781,0,-0.4375,0.0018292842,0.5,22,48,7.8064075,13.884726,48,72,119.5,0.902778,1.06132,1.06369,-10,-0.34662551,-0.517187,-0.855872,274.575,115.425,0,0.994627,93.3969,0.0850635,0.000347464,0.456236,-2.375,205,-2.125,114,-1.875,119,-1.625,114,-1.375,100,-1.125,98,-0.875,81,-0.625,112,-0.375,103,-0.125,73,0.125,8,0.375,114,0.625,103,0.875,89,1.125,86,1.375,109,1.625,92,1.875,119,2.125,96,2.375,130,1291,1281,219,2036,2019,393,2020,2026,392,1940,1909,355,2268,2295,482,1545,1565,314,1339,1315,256,2172,2152,325,1769,1727,318,2046,2038,363,0.99738359,0.99165821,117.29831,11,21,NaN,NaN,41609,1,timeout,1
1641237096300000000,tick,5000,20220103,false,56,0.738318,0.133462,0.056928,-0.05058,0.0974972,1,93,108,92,96,103,120,96,112,97,106,14,93,117,112,103,120,213,155,107,98,0.100721,0.117474,0.00946618,0.133225,10,10,2825,0.213159,1484,8.93059,0,5.46094,0.0012966325,11,37,70.5,7.3288383,12.127721,70.5,80,127.5,0.95,1.09383,1.03867,10.5,-0.21740915,-0.543193,-0.839608,281.605,108.395,0,1.00575,88.7479,0.0867068,0.0074124,0.457956,-2.375,106,-2.125,97,-1.875,112,-1.625,96,-1.375,120,-1.125,103,-0.875,96,-0.625,92,-0.375,108,-0.125,93,0.125,14,0.375,93,0.625,117,0.875,112,1.125,103,1.375,120,1.625,213,1.875,155,2.125,107,2.375,98,1427,1428,209,1334,1330,231,1352,1326,318,1524,1552,307,2013,2028,343,2634,2833,596,1859,1832,339,2064,2009,311,1355,1361,289,1479,1440,302,1.0018301,1.0089447,143.77519,1,28,NaN,NaN,38909,0,timeout,1
1641237531300000000,tick,5000,20220103,false,57,0.540984,0.0696721,-0.0290828,-0.110678,-0.018117,1,47,115,99,88,85,86,89,88,116,99,14,111,102,99,134,206,124,115,110,124,0.104025,0.114999,0.0377092,0.128927,10,10,2151,0.161208,1212,11.0091,0,1.8418,0.0021401006,1,32,64,7.2893758,11.067357,64,80,103,0.9625,1.09074,1.06397,-10,-0.24176842,-0.569477,-0.822007,288.855,101.145,0,0.993603,80.9772,0.0885368,0.000825083,0.454269,-2.375,99,-2.125,116,-1.875,88,-1.625,89,-1.375,86,-1.125,85,-0.875,88,-0.625,99,-0.375,115,-0.125,47,0.125,14,0.375,111,0.625,102,0.875,99,1.125,134,1.375,206,1.625,124,1.875,115,2.125,110,2.375,124,1149,1067,184,1469,1462,201,1050,1040,166,1868,1851,413,1940,1976,392,1317,1307,306,2032,2019,440,1822,1826,390,2068,2072,424,1386,1378,202,0.98929912,0.99733335,104.94367,-6,17,NaN,NaN,36429,-1,timeout,1
1641237983400000000,tick,5000,20220103,false,58,-0.251613,0.093578,0.0851064,0.0160584,-0.00278811,1,58,119,121,104,108,85,92,95,152,110,97,72,78,89,94,110,105,109,119,138,0.105111,0.103359,0.0342834,0.054645,10,10,-2212,-0.19069,954,12.1593,0,-0.263672,0.0016162301,-6,17,55,7.5605884,11.090969,55,77,103,0.883117,0.952954,1.09478,-7,-0.28741166,-0.59619,-0.802844,296.39,93.61,0,0.991438,60.25,0.0947013,0.00628931,0.450703,-2.375,110,-2.125,152,-1.875,95,-1.625,92,-1.375,85,-1.125,108,-0.875,104,-0.625,121,-0.375,119,-0.125,58,0.125,97,0.375,72,0.625,78,0.875,89,1.125,94,1.375,110,1.625,105,1.875,109,2.125,119,2.375,138,1202,1191,308,900,874,173,1139,1154,243,1437,1408,270,1401,1387,349,1116,1106,210,1124,1118,171,1510,1515,302,1083,1065,256,1468,1456,297,0.98930746,0.99349308,73.606194,-1,17,NaN,NaN,28187,0,timeout,1
1641238426700000000,tick,5000,20220103,false,59,-0.277108,-0.0647773,-0.0219653,0.0963618,0.00558614,1,30,119,82,93,99,103,105,143,109,232,53,110,100,92,87,85,96,87,101,108,0.119064,0.102795,0.12715,0.0316187,10,10,-577,-0.0481194,1162,10.3193,0,-3.51953,0.0016698131,-1,5.5,51,7.6041107,11.096324,51,73,103,0.863014,0.986478,1.066,5,-0.2574577,-0.621757,-0.78321,303.778,86.2217,0,0.99693,67.9061,0.0923711,0.000860585,0.453117,-2.375,232,-2.125,109,-1.875,143,-1.625,105,-1.375,103,-1.125,99,-0.875,93,-0.625,82,-0.375,119,-0.125,30,0.125,53,0.375,110,0.625,100,0.875,92,1.125,87,1.375,85,1.625,96,1.875,87,2.125,101,2.375,108,1095,1076,243,1171,1206,224,1109,1103,258,1082,1078,205,1175,1161,208,1487,1508,303,1217,1202,283,2183,2191,481,1941,1908,365,1219,1204,210,0.99857956,0.99577481,109.54423,16,19,NaN,NaN,31258,1,timeout,1
