geometry,scenario,rt_cost,realized_mean,conservative_mean,inflated_mean,realized_fold1,realized_fold2,realized_fold3
19:7,optimistic,2.49,2.151517613505994,2.794695857370391,5.0247173246210695,1.2608261353641839,3.7884366083743046,1.4052900967794935
19:7,base,3.74,0.901517613505994,2.099559075776735,3.77471732462107,0.010826135364183474,2.5384366083743046,0.1552900967794935
19:7,pessimistic,6.25,-1.608482386494004,0.7037244183366727,1.2647173246210717,-2.499173864635814,0.02843660837430644,-2.3547099032205043
10:5,optimistic,2.49,-0.3963823028271538,0.5058459228670538,0.7365857643149122,-0.33139579327541685,-0.48267243986062575,-0.3750786753454188
10:5,base,3.74,-1.6463823028271538,-0.35289707909383133,-0.5134142356850878,-1.581395793275417,-1.732672439860626,-1.625078675345419
10:5,pessimistic,6.25,-4.156382302827153,-2.0772530270312886,-3.023414235685087,-4.091395793275416,-4.242672439860624,-4.135078675345418
