geometry,fold,n_hold_trades,n_truncated,mean_fwd_return_ticks,mean_abs_fwd_return_ticks,std_fwd_return_ticks,directional_accuracy,hold_mean_pnl_gross,hold_mean_pnl_net,win_rate_gross,win_rate_net,fwd_p10,fwd_p25,fwd_median,fwd_p75,fwd_p90,calm_count,calm_mean_fwd,calm_dir_acc,calm_mean_pnl_net,choppy_count,choppy_mean_fwd,choppy_dir_acc,choppy_mean_pnl_net
19:7,Fold 1,87521,2607,3.87946892745741,40.187794929216984,52.38103940262015,0.48140096618357486,-1.238002879308966,-4.978002879308967,0.4782052307446213,0.4606323053895636,-62.0,-27.0,8.0,35.0,64.5,87120,3.879143709825528,0.48171471488820844,-4.970328856749312,401,3.9501246882793017,0.41265822784810124,-6.645236907730675
19:7,Fold 2,83249,1722,-1.2907842736849693,41.96897860634962,58.08646471345833,0.5403696615876553,4.6463996564523296,0.9063996564523276,0.5359103412653605,0.517159365277661,-68.0,-33.0,1.0,30.0,64.0,82812,-1.3130162295319519,0.5399795476126708,0.9120960126551693,437,2.922196796338673,0.6166666666666667,-0.173066361556065
19:7,Fold 3 (holdout),92774,8865,-0.18303619548580422,38.02247396899993,54.08695358105246,0.5094856053722213,-0.22088623967922047,-3.9608862396792226,0.4955806583741134,0.4729557850259771,-60.0,-27.0,1.0,29.0,59.0,92198,-0.19135447623592702,0.5090604962364093,-3.9749630686132047,576,1.1484375,0.5767195767195767,-1.7076649305555567
10:5,Fold 1,66152,7507,3.728163925504898,38.20689472729472,51.32941904846499,0.5028109145756204,-0.4150195761277059,-4.155019576127709,0.4988964808320232,0.47085500060466806,-61.0,-23.0,6.0,32.5,64.0,65843,3.7400710781708004,0.5030610995469572,-4.152980499065963,309,1.190938511326861,0.4485049833887043,-4.589514563106797
10:5,Fold 2,66320,6178,-1.1657493968636912,39.262221049457175,55.6150853851976,0.5214533503742925,-0.4491574939686369,-4.189157493968639,0.5167671893848009,0.4923854041013269,-65.0,-28.0,2.0,28.0,62.0,65964,-1.178976411375902,0.5206491480314479,-4.202638712024743,356,1.2851123595505618,0.6734104046242775,-1.6911938202247199
10:5,Fold 3 (holdout),71955,9880,-0.5120700437773609,37.165450628865266,54.4147003153707,0.5112166487219952,-0.3162393162393162,-4.056239316239317,0.48170384267945243,0.4530748384406921,-60.0,-26.0,0.0,27.0,58.0,71415,-0.5219981796541343,0.5117879652753002,-4.055471189526012,540,0.8009259259259259,0.43856332703213613,-4.157824074074075
